x1,x2
5.55E+001,6.95E+001
4.10E+001,8.15E+001
5.35E+001,8.60E+001
4.60E+001,8.40E+001
4.10E+001,7.35E+001
5.15E+001,6.90E+001
5.10E+001,6.25E+001
4.20E+001,7.50E+001
5.35E+001,8.30E+001
5.75E+001,7.10E+001
4.25E+001,7.25E+001
4.10E+001,8.00E+001
4.60E+001,8.20E+001
4.60E+001,6.05E+001
4.95E+001,7.60E+001
4.10E+001,7.60E+001
4.85E+001,7.25E+001
5.15E+001,8.25E+001
4.45E+001,7.05E+001
4.40E+001,6.60E+001
3.30E+001,7.65E+001
3.35E+001,7.85E+001
3.15E+001,7.20E+001
3.30E+001,8.15E+001
4.20E+001,5.95E+001
3.00E+001,6.40E+001
6.10E+001,4.50E+001
4.90E+001,7.90E+001
2.65E+001,6.45E+001
3.40E+001,7.15E+001
4.20E+001,8.35E+001
2.95E+001,7.45E+001
3.95E+001,7.00E+001
5.15E+001,6.60E+001
4.15E+001,7.15E+001
4.25E+001,7.95E+001
3.50E+001,5.95E+001
3.85E+001,7.35E+001
3.20E+001,8.15E+001
4.60E+001,6.05E+001
3.65E+001,5.30E+001
3.65E+001,5.35E+001
2.40E+001,6.05E+001
1.90E+001,5.75E+001
3.45E+001,6.00E+001
3.75E+001,6.45E+001
3.55E+001,5.10E+001
3.70E+001,5.05E+001
2.15E+001,4.20E+001
3.55E+001,5.85E+001
2.65E+001,6.85E+001
2.65E+001,5.55E+001
1.85E+001,6.70E+001
4.00E+001,6.70E+001
3.25E+001,7.15E+001
3.90E+001,7.15E+001
4.30E+001,5.55E+001
2.20E+001,5.40E+001
3.60E+001,6.25E+001
3.10E+001,5.55E+001
3.85E+001,7.60E+001
4.00E+001,7.50E+001
3.75E+001,6.30E+001
2.45E+001,5.80E+001
3.00E+001,6.70E+001
3.30E+001,5.60E+001
5.65E+001,6.10E+001
4.10E+001,5.70E+001
4.95E+001,6.30E+001
3.45E+001,7.25E+001
3.25E+001,6.90E+001
3.60E+001,7.30E+001
2.70E+001,5.35E+001
4.10E+001,6.35E+001
2.95E+001,5.25E+001
2.00E+001,6.55E+001
3.80E+001,6.50E+001
1.85E+001,7.45E+001
1.60E+001,7.25E+001
3.35E+001,6.80E+001
